SKU,Name,Length,Width,Height,Weight,URL
00260451,"LILLEPLUTTSoft toy, cat grey/white",26.0,24.0,10.0,0.11,https://www.ikea.com/nl/en/p/00260451/
00259914,"KRUSNINGPendant lamp shade, white,43 cm",43.0,43.0,1.0,0.19,https://www.ikea.com/nl/en/p/00259914/
00263850,"BILLYBookcase, white,80x28x202 cm",206.0,30.0,13.0,36.85,https://www.ikea.com/nl/en/p/00263850/
00269135,"HUGADWall fitting for curtain rod, black",6.0,4.0,3.0,0.06,https://www.ikea.com/nl/en/p/00269135/
00262855,"LENPillow for cot, white,35x55 cm",35.0,8.0,8.0,0.16,https://www.ikea.com/nl/en/p/00262855/
00262879,"EKERÖArmchair, Skiftebo yellow",84.0,61.0,42.0,18.73,https://www.ikea.com/nl/en/p/00262879/
00273175,"VOXTORPDoor, matt white,40x100 cm",106.0,40.0,3.0,6.02,https://www.ikea.com/nl/en/p/00273175/
00273199,"VOXTORPDoor, matt white,40x120 cm",126.0,40.0,3.0,7.8,https://www.ikea.com/nl/en/p/00273199/
00273180,"VOXTORPDoor, matt white,60x120 cm",129.0,60.0,3.0,11.3,https://www.ikea.com/nl/en/p/00273180/
00275848,"KALLAXShelving unit, white,42x147 cm",154.0,41.0,12.0,14.5,https://www.ikea.com/nl/en/p/00275848/
00277357,"VÄRDERASide plate, white,18x18 cm",20.0,18.0,3.0,0.34,https://www.ikea.com/nl/en/p/00277357/
00277395,"LOHALSRug, flatwoven, natural,200x300 cm",204.0,21.0,21.0,20.22,https://www.ikea.com/nl/en/p/00277395/
00278333,"LEIRSUNDSlatted bed base,90x200 cm",201.0,19.0,8.0,11.38,https://www.ikea.com/nl/en/p/00278333/
00277989,"KOMPLEMENTShelf, white,100x35 cm",98.0,35.0,2.0,4.4,https://www.ikea.com/nl/en/p/00277989/
00278578,"HYLLISShelving unit, in/outdoor,60x27x140 cm",144.0,28.0,4.0,5.34,https://www.ikea.com/nl/en/p/00278578/
00278677,"FÖRBÄTTRADecorative plinth, off-white,221x11 cm",242.0,12.0,4.0,6.1,https://www.ikea.com/nl/en/p/00278677/
00280208,"KUGGISInsert with 8 compartments, white",54.0,36.0,6.0,1.11,https://www.ikea.com/nl/en/p/00280208/
00282405,"BRANÄSBasket, dark grey,32x34x32 cm",63.0,33.0,8.0,1.7,https://www.ikea.com/nl/en/p/00282405/
00286677,"HEJNEPost, softwood,171 cm",171.0,7.0,3.0,1.7,https://www.ikea.com/nl/en/p/00286677/
00287295,"SNITTAKnife, black,22 cm",31.0,6.0,3.0,0.19,https://www.ikea.com/nl/en/p/00287295/
00286917,"VARDAGENGlass, clear glass,31 cl",25.0,18.0,8.0,1.62,https://www.ikea.com/nl/en/p/00286917/
00287808,"HEJNEShelf, softwood,77x28 cm",80.0,28.0,5.0,2.8,https://www.ikea.com/nl/en/p/00287808/
00290778,"FLISATWall storage, light white stained pine,70x9x16 cm",73.0,13.0,6.0,1.5,https://www.ikea.com/nl/en/p/00290778/
00290622,"HOPPVALSCellular blind, white,120x155 cm",127.0,8.0,4.0,1.48,https://www.ikea.com/nl/en/p/00290622/
00291650,"GLASSVIKGlass door, black/clear glass,60x38 cm",68.0,39.0,3.0,2.61,https://www.ikea.com/nl/en/p/00291650/
00291419,"STAJLIGHanger, in/outdoor, white",41.0,23.0,3.0,0.47,https://www.ikea.com/nl/en/p/00291419/
00291928,"VARDAGENJar with lid, clear glass,1.9 l",18.0,15.0,15.0,0.92,https://www.ikea.com/nl/en/p/00291928/
00291848,"HANVIKENDoor/drawer front, white,60x38 cm",69.0,39.0,2.0,2.15,https://www.ikea.com/nl/en/p/00291848/
